text,actual_label,predicted_label,text_length,error_type
Ali nije .,1,0,10,False Negative
Prilično zabavno .,0,1,18,False Positive
Sretno gledajući ! ! !,0,1,22,False Positive
I Purefoy je dobar u ulozi .,0,1,28,False Positive
I McNairy je sjajna u ulozi .,0,1,29,False Positive
Conner je zaista dobar u ulozi .,0,1,32,False Positive
Film je zapravo Sci-Fi bez smijera .,0,1,36,False Positive
To je bila velika pogreška s moje strane .,1,0,42,False Negative
Replike je vrlo suvremeni film za publiku .,0,1,43,False Positive
Na Rotten Tomatoes postoji ali nema bodova .,0,1,44,False Positive
Ona postaje zabrinuta zbog toga što se događa .,1,0,47,False Negative
I uspio je da inspiriše publiku širom svijeta .,0,1,47,False Positive
Specijalni efekti kao i obično bili su uvijek dobri .,0,1,53,False Positive
Posljednja četvrtina ovog filma se teško može pratiti .,0,1,55,False Positive
Zbog opasnosti koju su George i vuk mogli posjedovati .,0,1,55,False Positive
Bilo je zapravo prilično zastrašujuće tijekom tih scena .,0,1,57,False Positive
"Stoga , ” Morgan ” je minijaturna verzija greške i ispada .",1,0,59,False Negative
"Ali da , ovaj show ima neku dobru produkcijsku vrijednost .",0,1,59,False Positive
"Pa , ovaj film je bio prilično ugodan kao SCI-Fi horor film .",0,1,61,False Positive
"Stoga , ovaj film definitivno neće odgovarati mladoj publici .",1,0,62,False Negative
"Sve u svemu , mislim da je to dobra akcijska thriller serija .",1,0,62,False Negative
Mnoge od akcijskih scena su igrane u boljim filmovima u žanru .,0,1,63,False Positive
Jedna od najčudnijih najava i jedan od najnesigurnijih filmova .,0,1,64,False Positive
"Osim Rubyja , pomislio sam da je Chubov lik bio vrlo simpatičan .",0,1,65,False Positive
Ovi je opet teško iskorijeniti za dobrobit filma do samog kraja .,1,0,65,False Negative
"Ocjena na IMDb.com mu je 7 / 10 , a na Tomatoesima solidnih 63% .",0,1,65,False Positive
"Četiri vala napada vanzemaljaca , ostavlja Zemlju skoro opustošenu .",1,0,68,False Negative
Ovdje se ponovno pojavljuje u akcijskoj ulozi koja mu je samo sjela .,1,0,69,False Negative
Činilo se da je Alex ostavila majku bez znanja da odlazi u Quanticu .,1,0,69,False Negative
"Zanimljiv i intrigantan , možda za djecu , te ovo njima i mogu preporučiti .",1,0,76,False Negative
"Ximi : Žena je upravo probodena harpunom , pa je sin pita : — Does it hurt ?",0,1,76,False Positive
"No , sjajan sustav zvuka i iznenađujući završetak doista su nas zadovoljili .",0,1,77,False Positive
"Jedan od top najočekivanijih animiranih filmova godine , upravo je pogledan .",1,0,77,False Negative
Razlog tome je što Yin Yang ( Jet Li ) nakon početka filma misteriozno nestaje .,1,0,80,False Negative
"Velika je i bombastična , ali je i suptilna i kontemplativna , ali i emocionalno .",1,0,82,False Negative
Veliki gradovi postaju mrtvi gradovi zbog potpunog zaključavanja u svim regijama .,1,0,82,False Negative
Gotovo se osjećalo kao da pokušavaju prilagoditi svih sedam knjiga u jednom filmu .,1,0,83,False Negative
Pronađite ih sve u ovom doista nevjerojatnom znanstveno-fantastičnom akcijskom filmu .,1,0,86,False Negative
Moja divljenja također idu Danu Stevensu jer je u stanju prikazati takav složen karakter .,1,0,90,False Negative
"Svaka epizoda druge sezone je moćna , inteligentna , a ne nešto što svaka serija može postići .",1,0,95,False Negative
"No , treći je film zapravo dodao elemente akcija koje su ga učinile više napetim i intenzivnim .",0,1,96,False Positive
"Svaka epizoda je trajala 50 - 60 minuta , osim konačne epizode koja je trajala gotovo 1,5 sata .",1,0,96,False Negative
"Pa u tom smislu ima dovoljno dubine njegov lik , a on nije samo pohlepan , čudovište jedne note .",1,0,97,False Negative
To bi bio početak prekrasnog partnerstva između Lizzie i Dylana za rješavanje različitih slučajeva .,0,1,100,False Positive
To bi bio početak prekrasnog partnerstva između Lizzie i Dylana za rješavanje različitih slučajeva .,0,1,100,False Positive
"Uglavnom zato što su proizveli dosta raznolik raspon emisija i filmova , a dobar dio njih sam uživao .",1,0,102,False Negative
Pojava agenta Coulsona ( Clark Gregg – Marvelovi agenti SHIELD TV serije ) definitivno je lijep dodir .,1,0,103,False Negative
"Ona nije super uvjerljiva kao redovita osoba izvan vrste , i laka je meta za kompaniju poput The Circle .",0,1,105,False Positive
Lyonina uloga kao Nadije nije bila snaga i da je netko drugi bio bačen u ulogu koju je serija možda imala .,1,0,107,False Negative
"U nedostatku inspiracije imam slaba poređenja , ali jasno ciljam na to da se film zaobilazi u širokom luku .",1,0,108,False Negative
"Uopšteno gledano , to je još uvijek bila vrlo zabavna vožnja i definitivno vrijedan zaključak ove trilogije .",1,0,109,False Negative
Ali dopadao mi se Will Patton za koga sam mislio da je savršen kao i ovaj sjenoviti poslovni čovjek malog grada .,0,1,113,False Positive
"Iako se ispostavilo da su ostali dijelovi epizoda ipak prikazani , što me je zaintrigiralo i htio sam je pogledati .",1,0,116,False Negative
"Topao i prijatan , ‘ Peanuts Movie ’ je većinom za malu djecu , ali može poslužiit kao zabavna lekcija i za odrasle .",1,0,117,False Negative
Izgledalo je da se film suviše trudi da se priča napravi sofisticiranom i također ima mnogo likova koji podupiru priču .,0,1,120,False Positive
"Dio koji mi se sviđa bio je rješavanje slučaja ubojstva i Freudovi osobni izazovi , kao i popratna priča Alfreda Kissa .",0,1,120,False Positive
"Konačno , kao kompletna serija od 13 epizoda , mislim da nedostaje brz tempo koji je Daredevil imao i osjetio malo previše .",1,0,124,False Negative
"Sudbinu jednog od likova su totalno izostavili a neću spojlati o kome je riječ , nego ćete sami otkriti ako ga budete gledali .",1,0,127,False Negative
"Jednako dobra bila je i njena kolegica Laura Dern , koja je glumila njenu majku a koja je takođe osvojila nominaciju za Oskara .",0,1,128,False Positive
Inače ostale tehničke karakteristike filma su sasvim zadovoljavajuće i dočaravaju štrumfove u relanom svetu na zanimljiv način .,0,1,128,False Positive
"Od ranog dijela u kojem su nam pokazali Beth Harmon da se suoči sa zrelim profesionalnim šahistom , već sam se osjećao uzbuđeno .",0,1,129,False Positive
Dobra priča koja je zaokružena na nepredvidljiv način gdje ćete imati osjećaj da je ipak ostavljeno malo prostora za moguće nastavke .,1,0,134,False Negative
"Ali , baš kada se film zahuktao , uslijedilo je ponovo razočarenje i zadnjih pet minuta je uništilo sve ono što je film dobro napravio .",0,1,136,False Positive
U svakom pogledu su se podigli iznad većine filmova slične tematike i zbog toga su vjerovatno brzo stekli popularnost i osvojili srce publike .,1,0,143,False Negative
"Nakon incidenta tijekom ceremonije , Seg-El se također uvukao u politička previranja , gdje se susreo s Daronovom kćerkom Nyssa-Vex ( Wallis Day ) .",1,0,148,False Negative
Koliko god serije pokušavaju ozbiljno provesti na temu koja je predložena tu su karakteri pravca price koja narušava vjerovanje gledaoca u tu istinu .,1,0,150,False Negative
"Međutim , nakon što je razgovor otišao u krivu s milijarderom Carltonom Drakeom ( Riz Ahmed – Rogue One : A Star Wars Story , The Night Of miniseries i sl .",1,0,156,False Negative
"Ali nemojte biti u zabludi , ali vanzemaljci ovdje unatoč tome što nisu previše prikazani , ali kad su se pojavili , njihova se prisutnost zaista osjetila .",0,1,156,False Positive
"Rano se čini da je glavna prijetnja sezone čovjek po imenu Ivan Marx , ali nakon treće epizode , to se mijenja u mnogo rigidniji format samostalnih epizoda .",0,1,157,False Positive
"Kada jedne noći krene na studentsku zabavu , mladi njujorčanin Naasir Khan , spetljat će se sa nepoznatom ženskom osobom koja poslije biva izbodena na smrt .",0,1,157,False Positive
"Ako ipak moram izabrati , iskreno sam osjetio da je moje iskustvo gledanja prvog filma bilo najbolje , zbog intrigantnog i intenzivnog te misterije oko Maze .",1,0,158,False Negative
"Priča o Romulusu i njegovom bratu blizancu Remu , bogata mitovima , omogućava slobodu u razvoju priče , a ne samo da bude ograničena na vjernost činjenicama .",0,1,158,False Positive
Sve ovo ukazuje na dobar marketinški rad oko filma koji očigledno uspijeva jer se već drugu sedmicu zaredom drži na prvom mjestu ljestvice po najvećoj zaradi .,0,1,159,False Positive
Sadrži sve sjajne elemente iz prva dva filma Terminator koji su se savršeno kombinirali sa svježim novim ljudima i nadograđenim neizrecivim terminatorom iz budućnosti .,0,1,168,False Positive
"Ali pretpostavljam da Marvel samo želi da se uvjeri da je ovaj film bio što je moguće svjetliji , zbog čega čak i zlikovci nisu bili najstrašniji i zapravo prilično sivi .",0,1,171,False Positive
"Bilo je mračno poput uobičajene adaptacije stripa iz DC-a u filmovima ili serijama , ali dio koji me je najviše iznenadio bio je osjećaj horora s nekoliko scena iskakanja .",1,0,172,False Negative
"Kad je u rijeci pronađeno mrtvo tijelo , detektivska inspektorica Kate Saunders ( Zoë Tapper ) bila je dodijeljena da istraži slučaj koji će je kasnije odvesti do The One .",1,0,172,False Negative
"Istodobno , ne može se poreći da veći naglasak na izvođenju niza akcijskih scena u ovom filmu doista dovodi do toga da Boss Level gubi kontrolu nad razvojem sukoba i njegovih likova .",0,1,183,False Positive
"Malo ko ne zna za ovu popularnu četvorku , Donatela , Rafaela , Mikelanđela i Leonarda , koji su harali krajem osamdesetih i devedesetih i bili gost u svakom domu koji je imao djecu .",0,1,183,False Positive
"Kritike nisu nešto bile na strani filma , i uglavnom njegov dolazak u svijet filma , bioskopa i među publiku , bio je relativno zapažen ali glavni razlog tome je što su zapravo – dosadili .",1,0,189,False Negative
"Zašto je Hargreaves učinio to je nešto što ćete morati naučiti sami , međutim , njegova iznenadna smrt deset godina kasnije okuplja otuđene braću i sestre da zajedno oplakuju svog pokojnog oca .",1,0,194,False Negative
"Ono što film čini izuzetnim svakako jesu performansi i to od Reese Whiterspoon naročito , koja je osvojila nominaciju za Oskara za svoj rad , što joj je druga nominacija , jer je za prvu već osvojila Oskara .",1,0,208,False Negative
"Od arogancije i samopouzdanja do sramežljivog i tihog zavaravanja , gotovo svi učenici imaju dominantnu negativnu osobinu koja zamagljuje njihovu osobnost , držeći nas u ravnopravnosti , a ne da nas privlači .",1,0,209,False Negative
"Prošao on nezapaženo ili ne , oni koji odluče da odvoje malo svog vremena i ” opaze ” ga , mislim da se neće pokajati jer film jednostavno ima taj neki recept , koji , ko što bi rekli susjedi hrvati , ” šljaka ” .",0,1,213,False Positive
"Ova je istraga dovela do otkrivanja podataka iz arhive starih datoteka koje vodi organizacija Wallace koju je preuzeo Tyrell Corporation , gdje je upoznao odgovornu osobu pod imenom Luv ( Sylvia Hoeks – Renegades ) .",0,1,216,False Positive
"Već dugo ništa nisam pogledao i prinudnu pauzu prekidam jednim ‘ dugoočekivanim ’ filmom , koji je zapravo bio dugoočekivani dok nije zvanično izašao , kada je propao skoro u svakom segmentu , pa tako i u mojim očima .",1,0,218,False Negative
"Od filma sam očekivao stvarno mnogo jer su ga predstavili kao film bolji od nastavka , i u nekim prvih pola sata filma , bio sam utučen jer mi je sve ličilo na neku epizodu ‘ Walking Dead ’ a koja u sebi ima pametne i pričajuće majmune .",1,0,237,False Negative
"Kada su nam počeli plasirati sliku po sliku novih kornjači , mnogi su već bili razočarani činjenicom da će ova najnovija obrada uništiti reputaciju slavnih gmizavaca i kad je film ugledao svjetlo dana , izgleda da nije samo izgled kornjači bio jedini problem filma .",0,1,266,False Positive
"Jedini lik koji je meni bio upečatljiv , a vjerujem i ostalim koju su gledali film , ni manje ni više , nego robot imena K2SO.Izgleda da su ga programirali za ironiju ili sarkazam jer gotovo 98 posto svog teksta će izreci uz dozu takvog britkog humora da će izmamiti smijeh na lice svima .",1,0,289,False Negative
"kada glavni lik oboli , pa ga pokušaju izliječiti u medicinskom eksperimentu i onda stvari krenu naopako , pa dobijemo superheroja , pomalo je već poznata , ali ” Deadpool ” čini klišeje , predvidljive trenutke i dobro poznate zaplete , itekako podnošljivim kroz svoj humor i odlične i glavne i sporedne likove .",1,0,312,False Negative
"Većina se filma bazira na akcionim sekvencema bez imalo smisla , na to da Arnold ima što više epskih citata , iako ništa naravno ne može prkositi onom ‘ I ’ ll be back ’ iz prvog dijela , i na kopiranje scena i likova iz prva dva dijela , pa i sam završetak je skoro isti onoj sceni u drugom dijelu kada Arnold tj . Terminator uranja zajedno sa negativcem u istopljeni vreli metal .",1,0,382,False Negative
"Inspirisan Japanom ili Kinom , s obzirom da je radnja sva ispunjena motivima koji aludiraju na istočnu Aziju , film veoma spretno i smjelo upražnjava termin ” avanturistička porodična priča ” , s obzirom da vas svojim , ponekad strašnim , ali zanimljivim , mudrim i komičnim likovima vodi na jedan predivan put pun prepreka , izazova i životnih raskrsnica koji nas na kraju dovodi do jedne univerzalne poruke kojom se može okoristiti svaki pojedinac ( doduše , stariji pojedinac , s obzirom da kombinovanjem spiritualnosti , magije , origamija i zlih duhova , djeci možda bude pretežak i konfuzan )",1,0,598,False Negative
